"GOHJ","AMEX",63.9747,"2023-05-16T05:07:19.896Z"
"KFCU","OTCBB",121.5061,"2023-05-16T05:07:19.896Z"
"EIAW","NYSE",117.9846,"2023-05-16T05:07:19.896Z"
"VNTD","NASDAQ",130.5488,"2023-05-16T05:07:19.896Z"
"VNBS","NASDAQ",129.5588,"2023-05-16T05:07:19.896Z"
"SYLE","AMEX",9.0265,"2023-05-16T05:07:19.896Z"
"ERJI","AMEX",50.4206,"2023-05-16T05:07:19.896Z"
"SAML","NYSE",147.3974,"2023-05-16T05:07:19.897Z"
"RPRB","NASDAQ",26.1223,"2023-05-16T05:07:19.897Z"
"RFNC","NYSE",75.6082,"2023-05-16T05:07:19.897Z"
"NKGS","NYSE",69.7416,"2023-05-16T05:07:19.897Z"
"RJAS","AMEX",86.8256,"2023-05-16T05:07:19.897Z"
"GXGJ","NASDAQ",125.5812,"2023-05-16T05:07:19.897Z"
"BYLF","NASDAQ",6.0227,"2023-05-16T05:07:19.897Z"
"OWUC","NASDAQ",87.03,"2023-05-16T05:07:19.897Z"
"CGGX","AMEX",125.8551,"2023-05-16T05:07:19.897Z"
"NNVO","AMEX",24.0133,"2023-05-16T05:07:19.897Z"
"LZWM","OTCBB",69.2105,"2023-05-16T05:07:19.898Z"
"XIPN","NASDAQ",9.63,"2023-05-16T05:07:19.898Z"
"ZEMV","AMEX",50.7135,"2023-05-16T05:07:19.898Z"
"LASB","NYSE",80.842,"2023-05-16T05:07:19.898Z"
"XOGD","NYSE",128.6323,"2023-05-16T05:07:19.898Z"
"GLSI","NASDAQ",49.3322,"2023-05-16T05:07:19.898Z"
"JXJH","AMEX",95.6459,"2023-05-16T05:07:19.898Z"
"HEQH","NASDAQ",58.5199,"2023-05-16T05:07:19.898Z"
"ONTZ","NASDAQ",17.6831,"2023-05-16T05:07:19.898Z"
"JLIJ","NASDAQ",78.807,"2023-05-16T05:07:19.899Z"
"FXLR","OTCBB",114.4402,"2023-05-16T05:07:19.899Z"
"BADD","OTCBB",94.0249,"2023-05-16T05:07:19.899Z"
"OYEQ","NYSE",62.2089,"2023-05-16T05:07:19.899Z"
"KSAK","NYSE",16.046,"2023-05-16T05:07:19.899Z"
"WFFV","NYSE",50.0155,"2023-05-16T05:07:19.899Z"
"DZLE","NYSE",63.1686,"2023-05-16T05:07:19.899Z"
"UAAQ","NASDAQ",3.8597,"2023-05-16T05:07:19.899Z"
"MIUU","AMEX",90.6702,"2023-05-16T05:07:19.900Z"
"IHRH","NYSE",104.0871,"2023-05-16T05:07:19.900Z"
"QMKR","NYSE",66.8652,"2023-05-16T05:07:19.900Z"
"DRBX","AMEX",124.2846,"2023-05-16T05:07:19.900Z"
"ZTJK","AMEX",10.274,"2023-05-16T05:07:19.900Z"
"SBYY","OTCBB",0.4246,"2023-05-16T05:07:19.900Z"
"DYLH","AMEX",99.6001,"2023-05-16T05:07:19.900Z"
"WKTM","NYSE",92.0247,"2023-05-16T05:07:19.900Z"
"IXGU","NASDAQ",93.4825,"2023-05-16T05:07:19.900Z"
"NAOS","OTCBB",14.5432,"2023-05-16T05:07:19.901Z"
"PPFT","NYSE",110.8895,"2023-05-16T05:07:19.901Z"
"GVZU","NYSE",136.388,"2023-05-16T05:07:19.901Z"
"DLCK","NASDAQ",73.6149,"2023-05-16T05:07:19.901Z"
"OZQS","NYSE",129.8254,"2023-05-16T05:07:19.901Z"
"YGTC","AMEX",18.0252,"2023-05-16T05:07:19.901Z"
"VJGY","OTCBB",104.0958,"2023-05-16T05:07:19.901Z"
"NQVW","NYSE",123.76,"2023-05-16T05:07:19.901Z"
