VCTNS,NASDAQ,52.97,1597699991000
FXYVQE,NASDAQ,889.11,1597527191000
XONPXQ,NASDAQ,229.39,1596490391000
AYXHN,NASDAQ,66.72,1596403991000
OJTSOA,NASDAQ,399.89,1597872791000
BQKBH,NASDAQ,134.93,1596663191000
IDVZM,NASDAQ,13.08,1597095191000
HZYWIP,NASDAQ,107.66,1597181591000
PYWSGX,NASDAQ,185.55,1597613591000
OPQRCY,NASDAQ,19.69,1597095191000
KTST,NASDAQ,200.79,1597181591000
XHAJA,NASDAQ,48.38,1597095191000
MELL,NASDAQ,41.06,1597613591000
UOVRPZ,NASDAQ,25.80,1597267991000
TASTAR,NASDAQ,960.77,1596317591000
JBGGZI,NASDAQ,32.63,1597354391000
FTIHTU,NASDAQ,205.41,1596490391000
JBNT,NASDAQ,27.15,1596576791000
BJAR,NASDAQ,29.80,1597440791000
PVGAI,NASDAQ,659.80,1596317591000
PBYO,NASDAQ,209.68,1597872791000
MHHTGV,NASDAQ,595.42,1596835991000
LCOHGO,NASDAQ,336.42,1596835991000
XEQBFA,NASDAQ,390.25,1597786391000
OGKUNX,NASDAQ,51.83,1596490391000
JDDCAP,NASDAQ,61.41,1596749591000
LUSYV,NASDAQ,136.92,1597613591000
WSPJ,NASDAQ,298.16,1597786391000
RWAX,NASDAQ,662.47,1597095191000
SLGF,NASDAQ,509.42,1596403991000
PVILS,NASDAQ,341.21,1597959191000
LQCWHT,NASDAQ,242.78,1597699991000
UBQCM,NASDAQ,133.21,1596663191000
UTAUFD,NASDAQ,68.85,1596576791000
VQNPVB,NASDAQ,178.22,1597440791000
NLLJD,NASDAQ,30.84,1596403991000
ONDBC,NASDAQ,336.81,1597440791000
LMXAN,NASDAQ,13.56,1597008791000
CDXEE,NASDAQ,9.65,1596403991000
PNMV,NASDAQ,531.20,1597959191000
GKJR,NASDAQ,210.88,1597959191000
FHJC,NASDAQ,152.29,1597699991000
NUXOJ,NASDAQ,267.89,1596922391000
RAJA,NASDAQ,187.26,1596403991000
AAUAWC,NASDAQ,82.33,1597354391000
KEDW,NASDAQ,480.97,1596922391000
MLZPO,NASDAQ,241.95,1597786391000
RRRC,NASDAQ,417.62,1596403991000
GNJB,NASDAQ,236.40,1596663191000
FTKYQ,NASDAQ,27.89,1596576791000
FKPDEZ,NASDAQ,139.89,1596576791000
STGWD,NASDAQ,52.18,1596403991000
VEPJPP,NASDAQ,275.93,1597267991000
FOUCIX,NASDAQ,234.17,1596922391000
GFFAP,NASDAQ,158.72,1597008791000
DGYT,NASDAQ,635.09,1597440791000
GHUE,NASDAQ,74.87,1597008791000
TOBGDW,NASDAQ,304.77,1597440791000
QDRX,NASDAQ,294.15,1596749591000
HMPU,NASDAQ,304.66,1596749591000
CVYLN,NASDAQ,24.62,1597440791000
BQXRDJ,NASDAQ,13.38,1597872791000
XRMMP,NASDAQ,341.14,1596403991000
YHHUZ,NASDAQ,49.30,1597959191000
RQMVH,NASDAQ,18.71,1597699991000
OLZHB,NASDAQ,596.07,1597527191000
QAZD,NASDAQ,3.89,1596576791000
BMWDYA,NASDAQ,238.70,1597872791000
XPWHF,NASDAQ,385.84,1597440791000
UKUAZ,NASDAQ,612.85,1596663191000
IFJV,NASDAQ,392.64,1597959191000
BVCXJ,NASDAQ,777.71,1597699991000
UBHXW,NASDAQ,82.71,1596490391000
SDUXR,NASDAQ,139.92,1596835991000
CLJVS,NASDAQ,427.63,1596403991000
FMIBF,NASDAQ,16.67,1597181591000
GCRPP,NASDAQ,303.65,1596749591000
VVTY,NASDAQ,913.04,1596317591000
DMHLUH,NASDAQ,276.18,1597786391000
VXVD,NASDAQ,440.55,1596749591000
ORXILZ,NASDAQ,8.81,1596663191000
POVTKW,NASDAQ,141.24,1597959191000
NWHJZ,NASDAQ,61.16,1597181591000
JIML,NASDAQ,140.92,1596835991000
KEXO,NASDAQ,108.69,1597095191000
TZOD,NASDAQ,429.52,1597008791000
DRXJLX,NASDAQ,98.25,1596490391000
DSRI,NASDAQ,843.04,1596922391000
CLHFI,NASDAQ,102.53,1597527191000
EDYW,NASDAQ,197.16,1596835991000
JIWH,NASDAQ,22.16,1597008791000
XQFRMQ,NASDAQ,6.22,1597008791000
PGPRL,NASDAQ,60.33,1597354391000
QTXXEW,NASDAQ,162.21,1597095191000
VFPC,NASDAQ,353.68,1596403991000
QZCLK,NASDAQ,57.91,1597440791000
TYPBB,NASDAQ,599.78,1597786391000
ZPXSZW,NASDAQ,61.04,1597959191000
HLLAO,NASDAQ,2.54,1597527191000
ENAQHU,NASDAQ,504.68,1596922391000
ERLAO,NASDAQ,4.57,1596663191000
NSCKR,NASDAQ,284.74,1596663191000
TMSLO,NASDAQ,104.15,1596922391000
CEFJE,NASDAQ,291.38,1596663191000
QFFWXE,NASDAQ,107.95,1597354391000
GHFYV,NASDAQ,141.84,1597872791000
QQKH,NASDAQ,350.57,1597527191000
LRNP,NASDAQ,156.40,1597786391000
ORAWBW,NASDAQ,2.79,1596663191000
DLKUNZ,NASDAQ,769.31,1597095191000
DDVD,NASDAQ,56.28,1597440791000
BGJZ,NASDAQ,584.21,1597008791000
XIWQZ,NASDAQ,206.11,1597872791000
SFGK,NASDAQ,481.93,1597872791000
YWIPE,NASDAQ,150.30,1597181591000
XRMQCM,NASDAQ,68.25,1597959191000
DMUGRB,NASDAQ,282.78,1597872791000
IZUEP,NASDAQ,179.73,1597008791000
NWAUXA,NASDAQ,304.30,1596317591000
GPJWZC,NASDAQ,339.38,1597008791000
FDDT,NASDAQ,172.34,1597872791000
KVNLRN,NASDAQ,17.40,1596749591000
ZMWX,NASDAQ,79.31,1596749591000
HKDRX,NASDAQ,661.57,1597786391000
FMVAF,NASDAQ,39.90,1597008791000
VSWC,NASDAQ,593.63,1597872791000
JONJRR,NASDAQ,70.65,1597959191000
ZIEDQ,NASDAQ,80.61,1597095191000
OEYVP,NASDAQ,112.01,1596317591000
ZJPFON,NASDAQ,344.87,1597527191000
ENILI,NASDAQ,2.12,1596663191000
ITKXOO,NASDAQ,2.88,1597699991000
YCXDP,NASDAQ,292.72,1597181591000
UCZX,NASDAQ,212.65,1596317591000
LCRSI,NASDAQ,7.78,1596403991000
PJNMIT,NASDAQ,546.87,1596576791000
PZYDGQ,NASDAQ,9.83,1597699991000
JRVJM,NASDAQ,31.01,1597527191000
LZAG,NASDAQ,183.27,1597786391000
EMRV,NASDAQ,154.86,1596663191000
IECVKM,NASDAQ,71.21,1596576791000
RCKLKP,NASDAQ,501.85,1597872791000
XOZFM,NASDAQ,316.18,1596835991000
RNHGP,NASDAQ,244.32,1597008791000
HOUXJ,NASDAQ,324.61,1596317591000
ENYIF,NASDAQ,78.66,1597181591000
GSTZ,NASDAQ,37.81,1596576791000
BKZBB,NASDAQ,124.85,1597095191000
EQHVDN,NASDAQ,118.14,1596835991000
IZXZ,NASDAQ,18.01,1597008791000
GGUYI,NASDAQ,227.26,1596490391000
CNBDFS,NASDAQ,352.30,1596749591000
VSCMI,NASDAQ,162.77,1597440791000
QEUY,NASDAQ,602.33,1597699991000
EKXE,NASDAQ,22.98,1597699991000
BXLX,NASDAQ,148.62,1597699991000
GAUTWM,NASDAQ,357.03,1596749591000
ZFYCC,NASDAQ,100.57,1597354391000
VUNG,NASDAQ,126.90,1596749591000
WMNOIH,NASDAQ,272.22,1597440791000
LTBUMB,NASDAQ,501.58,1597440791000
KWRHGG,NASDAQ,12.34,1597613591000
ZWCQE,NASDAQ,432.45,1596749591000
MJCAKQ,NASDAQ,49.51,1597786391000
SXAD,NASDAQ,3.82,1596317591000
ZBABDB,NASDAQ,108.21,1597527191000
JSRW,NASDAQ,77.49,1597181591000
VTGZUH,NASDAQ,166.29,1597699991000
ATGS,NASDAQ,86.29,1597699991000
IHPWVI,NASDAQ,55.30,1597354391000
TQZFQ,NASDAQ,225.43,1597267991000
ARUX,NASDAQ,21.67,1596922391000
WEHEWS,NASDAQ,13.64,1597095191000
KEQH,NASDAQ,967.36,1596749591000
WNWHDP,NASDAQ,101.94,1597008791000
OSKTXP,NASDAQ,58.07,1597181591000
ZWLN,NASDAQ,136.91,1597354391000
PTTFSD,NASDAQ,276.83,1596403991000
NWRL,NASDAQ,187.49,1597613591000
IQDCYW,NASDAQ,44.41,1597008791000
OLAVD,NASDAQ,15.47,1597008791000
AAKGS,NASDAQ,17.80,1596663191000
PCNKJ,NASDAQ,33.97,1596922391000
JUXZVA,NASDAQ,772.77,1597267991000
NGGLI,NASDAQ,46.81,1596403991000
HQQSRM,NASDAQ,18.67,1597699991000
DORMF,NASDAQ,248.91,1596490391000
VDZGCH,NASDAQ,644.15,1597267991000
QUFUDR,NASDAQ,121.51,1596490391000
DUDBY,NASDAQ,367.24,1597008791000
QZJBUF,NASDAQ,81.75,1596749591000
GYWPDY,NASDAQ,32.24,1596835991000
YVHUC,NASDAQ,13.89,1597008791000
VKGZ,NASDAQ,42.29,1596490391000
KGRJ,NASDAQ,656.41,1597613591000
AVLFK,NASDAQ,45.17,1597613591000
IMUOT,NASDAQ,251.77,1597440791000
PEDPYU,NASDAQ,66.34,1597181591000
IPSPR,NASDAQ,402.43,1597786391000
ZGDDN,NASDAQ,4.00,1596317591000
SSNT,NASDAQ,193.53,1597699991000
BMEZ,NASDAQ,298.54,1597786391000
FPFV,NASDAQ,17.32,1597181591000
QXHUGP,NASDAQ,69.50,1596663191000
PLSQE,NASDAQ,452.18,1596663191000
DOMT,NASDAQ,304.61,1597959191000
FYTKZL,NASDAQ,143.04,1597527191000
DUZAI,NASDAQ,721.31,1597354391000
AATJVF,NASDAQ,163.82,1597008791000
LEDU,NASDAQ,71.46,1596663191000
QMXR,NASDAQ,242.93,1597959191000
KYZZOE,NASDAQ,186.52,1597786391000
MZKV,NASDAQ,497.25,1596835991000
YZRTDP,NASDAQ,567.89,1596403991000
RPNU,NASDAQ,266.36,1596490391000
USTMZ,NASDAQ,477.09,1597959191000
FPOGPY,NASDAQ,515.37,1596749591000
EITT,NASDAQ,242.58,1596749591000
BHPVE,NASDAQ,403.52,1597354391000
YQWXJS,NASDAQ,484.16,1597354391000
IUNXLD,NASDAQ,90.21,1596403991000
DFWSTS,NASDAQ,73.25,1597786391000
SRKHLZ,NASDAQ,93.40,1597613591000
NNEMAB,NASDAQ,178.81,1597699991000
TQJCMZ,NASDAQ,836.80,1597786391000
WWFTBG,NASDAQ,159.95,1596490391000
NQZZJ,NASDAQ,92.65,1596403991000
WBMEI,NASDAQ,160.92,1597267991000
WOEC,NASDAQ,68.32,1597267991000
QPNV,NASDAQ,14.64,1597959191000
BMYDRE,NASDAQ,728.36,1596835991000
EZHRH,NASDAQ,544.91,1597267991000
AUMXWZ,NASDAQ,482.53,1596317591000
VCGV,NASDAQ,93.91,1597440791000
BKMZQU,NASDAQ,185.21,1597181591000
YQZZLP,NASDAQ,43.40,1596576791000
YWJOVF,NASDAQ,344.33,1596403991000
ZIDKC,NASDAQ,90.20,1596490391000
VQVT,NASDAQ,301.99,1597699991000
BJKQU,NASDAQ,324.80,1597181591000
XYDRM,NASDAQ,6.69,1597527191000
DJAC,NASDAQ,377.76,1596835991000
IPXN,NASDAQ,72.35,1596490391000
BBDPR,NASDAQ,405.13,1597872791000
MGCVKZ,NASDAQ,464.51,1596403991000
BDUP,NASDAQ,14.05,1597440791000
ZRQX,NASDAQ,580.39,1596749591000
UUDPEQ,NASDAQ,34.48,1597008791000
CEJK,NASDAQ,293.46,1597786391000
UNSCM,NASDAQ,36.51,1596576791000
